Time,Value
,"0.12
"
,"0.10
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.13
"
,"0.23
"
,"0.36
"
,"0.43
"
,"0.07
"
,"0.00
"
,"0.11
"
,"0.53
"
,"0.33
"
,"0.23
"
,"0.18
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.09
"
,"0.16
"
,"0.00
"
,"0.30
"
,"0.21
"
,"0.41
"
,"0.02
"
,"0.20
"
,"0.00
"
,"0.30
"
,"0.19
"
,"0.10
"
,"0.01
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.14
"
,"0.16
"
,"0.20
"
,"0.11
"
,"0.24
"
,"0.31
"
,"0.30
"
,"0.58
"
,"0.45
"
,"0.51
"
,"0.28
"
,"0.36
"
,"0.43
"
,"0.22
"
,"0.06
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
10,"0.00
"
,"0.00
"
,"0.01
"
,"0.06
"
,"0.08
"
,"0.08
"
,"0.12
"
,"0.12
"
,"0.12
"
,"0.16
"
,"0.19
"
,"0.28
"
,"0.28
"
,"0.44
"
,"0.00
"
,"0.47
"
,"0.38
"
,"0.28
"
,"0.01
"
,"0.32
"
,"0.14
"
,"0.02
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.01
"
,"0.02
"
,"0.04
"
,"0.08
"
,"0.08
"
,"0.15
"
,"0.17
"
,"0.22
"
,"0.07
"
,"0.19
"
,"0.31
"
,"0.29
"
,"0.36
"
,"0.36
"
,"0.22
"
,"0.09
"
,"0.12
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.04
"
,"0.05
"
,"0.10
"
,"0.11
"
,"0.16
"
,"0.29
"
,"0.34
"
,"0.45
"
,"0.05
"
,"0.47
"
,"0.49
"
,"0.37
"
,"0.47
"
,"0.00
"
,"0.13
"
,"0.04
"
,"0.00
"
11,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.01
"
,"0.05
"
,"0.06
"
,"0.14
"
,"0.18
"
,"0.23
"
,"0.00
"
,"0.16
"
,"0.47
"
,"0.20
"
,"0.47
"
,"0.09
"
,"0.42
"
,"0.00
"
,"0.23
"
,"0.10
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.01
"
,"0.04
"
,"0.07
"
,"0.11
"
,"0.13
"
,"0.03
"
,"0.10
"
,"0.19
"
,"0.25
"
,"0.23
"
,"0.00
"
,"0.18
"
,"0.19
"
,"0.18
"
,"0.10
"
,"0.04
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
12,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.02
"
,"0.05
"
,"0.06
"
,"0.12
"
,"0.14
"
,"0.14
"
,"0.10
"
,"0.10
"
,"0.03
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.01
"
,"0.08
"
,"0.10
"
,"0.17
"
,"0.27
"
,"0.21
"
,"0.22
"
,"0.30
"
,"0.23
"
,"0.01
"
,"0.00
"
,"0.28
"
,"0.22
"
,"0.14
"
,"0.06
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.00
"
,"0.15
"
,"0.13
"
,"0.03
"
,"0.00
"
,"0.02
"
,"0.06
"
,"0.08
"
,"0.15
"
,"0.23
"
,"0.01
"
,"0.03
"
,"0.46
"
,"0.43
"
,"0.16
"
,"0.56
"
